DINFLAG,BENZ,BENZ2,BENZ3,BRAND,ALTNO,ALTNO2,COLORCODE,REMARKS,DATE,COST,SELL,QTY,CURRENCY,FCAMOUNT,CONVERSION,LOCATION
,,,,,567905,,,,04/02/1990,0.00,43.00,0,,0.00,0.00,
,,,,,DOT 4,,,,01/02/1992,0.00,385.00,0,,0.00,0.00,
,,,,AEROREX,112 12 012,,,,03/03/1993,1522.00,2600.00,0,,0.00,0.00,
,,,,AEROREX,112 12 018,,,,07/26/1991,1469.00,2600.00,0,,0.00,0.00,
,,,,BOSCH,0 120 469 588,,,,01/02/1992,0.00,12500.00,0,,0.00,0.00,
,,,,BOSCH,0 130 107 036,,,,09/03/1993,1123.00,2200.00,0,,0.00,0.00,
,,,,BOSCH,0 130 107 080,,,,11/13/1992,1712.00,3000.00,0,,0.00,0.00,
,,,,BOSCH,0 130 107 080,,,,12/05/1993,1636.00,3000.00,0,,0.00,0.00,
,,,,BOSCH,0 130 111 001,,,,08/23/1993,1275.00,2600.00,0,,0.00,0.00,
,,,,BOSCH,0 130 111 011,,,,02/05/1993,2070.00,3200.00,0,,0.00,0.00,
,,,,BOSCH,0 130 111 102,,,,06/05/1992,1663.00,2900.00,0,,0.00,0.00,
,,,,BOSCH,0 130 111 102,,,,09/20/1993,1614.00,2900.00,0,,0.00,0.00,
,,,,BOSCH,0 241 229 924,,,,02/01/1993,23.00,33.00,0,,0.00,0.00,
,,,,BOSCH,0 241 235 628,,,,10/29/1990,70.00,100.00,0,,0.00,0.00,
,,,,BOSCH,0 250 201 010,,,,01/01/1993,0.00,525.00,2,,0.00,0.00,
,,,,BOSCH,0 332 014 150,,,,11/18/1991,45.00,75.00,0,,0.00,0.00,
,,,,BOSCH,0 332 014 150,,,,01/21/1991,59.00,75.00,3,,0.00,0.00,
,,,,BOSCH,0 450 198 009,,,,01/01/1993,0.00,1620.00,0,,0.00,0.00,
,,,,BOSCH,0 580 464 008,,,,04/10/1992,2887.00,4960.00,0,,0.00,0.00,
,,,,BOSCH,1 006 209 477,,,,12/30/1989,0.00,540.00,0,,0.00,0.00,
,,,,BOSCH,1 124 034 572,,,,03/24/1993,775.00,1480.00,0,,0.00,0.00,
,,,,BOSCH,1 124 034 638,,,,10/27/1992,2085.00,3500.00,0,,0.00,0.00,
,,,,BOSCH,1 124 034 638,,,,01/01/1993,0.00,3500.00,0,,0.00,0.00,
,,,,BOSCH,1 124 035 062,,,,07/03/1992,2681.00,4200.00,0,,0.00,0.00,
,,,,BOSCH,1 124 035 155,,,,08/28/1992,2659.00,4200.00,0,,0.00,0.00,
,,,,BOSCH,1 124 035 155,,,,01/01/1993,0.00,4200.00,0,,0.00,0.00,
,,,,BOSCH,1 124 403 638,,,,09/28/1992,2317.00,3500.00,0,,0.00,0.00,
,,,,BOSCH,1 125 045 053,,,,08/23/1993,1818.00,3500.00,0,,0.00,0.00,
